,content
47,많이 다녀보신 분은 아는내용이지만 처음 공항을 이용하기 위해서는 본인이 타는 항공사를 확인하는 것이 필요한데요. 한가지 확실하게 체크해야 하는 사항은 항공사마다 청사가 다르기 때문에 잘 못타면 엉뚱한 여객터미널에 하차할 수 있습니다. 또한 공동운항편의 경우 항공사와 비행기가...
48,미국 항공사 중에 젯블루는 정말 많이들 이용하는 항공사 중에 하나인데요. 개인적으로 정말 좋아하는 항공사 이기도 합니다. 젯블루는 비교적 저렴한 항공권과 미국에서 가까운 캐리비안이나 미국 내 비행을 하기에 굉장히 적합한 항공사 이기도 합니다. 우리나라 항공사로 예를 들면...
49,"오늘은 #진에어 #무료기내식 리뷰를 해볼게요~ 저가항공사들은 가까운 거리는 기내식을 제공하지 않고, 3~4일전 미리 예약 시에만 제공되는 거... 그리고 시키는 김에 콜라도 주문함      아무래도 저가항공사는 편의점 장사로 이득을 보는 느낌이 들었어요    참고로, 카드 계산하면..."
50,보잉사의 B737 맥스 8이 최근 잇단 추락사고로 전 세계 각국에서 연달아 운항 중단을 결정하고 있는 가운데 해당기종의 도입을 추진 하던 국내 항공사들이 안전 확보 전까지 운항하지 않겠다는 방침을 밝히면서 도입 계획이 없던 항공사간 희비가 엇갈리고 있다. 14일 대한항공과 티웨이항공은...
51,인천~울란바토르 추가 운항권 2월 25일 항공사별 PT 26일 결정 아시아나 vs LCC 대결 구도  황금 노선 으로 불리는 몽골 하늘길을 놓고 국내 7개 항공사가 한판 승부를 벌인다고 합니다. 타깃은 인천~울란바토르(몽골) 노선의 추가 운항권입니다. 대한항공이 30년 가까이 단독으로 운항해온...
52,"비행기 여행 시 항공사, 공항 이용 꿀팁 소개 해요!! 예전과 달리 해외여행에 대한 부담감이 적어져서 휴가철이나 명절에 해외로 여행을 많이 떠나시는데요, 제주도, 일본 등 가까운 곳은 여객선을 이용하는 경우도 있지만 대부분 비행기를 이용하시죠. 비행기 여행 시 항공사, 공항을 이용하게..."
53,세계 최대 항공사로 유명했던  팬암 이 캐주얼 패션 브랜드로 한국에 공식 런칭된다. 다람엠에프(대표 정승준)는 미국 팬 아메리칸 월드...  팬암 은 1927년 미국에서 설립돼 90년대까지 세계 최대 항공 노선을 운항하며 20세기 역사와 문화 속에서 큰 역할을 차지했던 항공사다. 영화  캐치 미...
54,"#싱가폴항공탑승후기 #세계최고항공사 #싱가폴항공 #데이지싱가폴 여러분 드디어!!! 드디어, 가을에 방문한 싱가폴 여행기 싱가폴항공 탑승후기를 쓸 수 있게 되었다. 우선, 나에게 큰 도전이었던건 항공사를 퇴사 한 후 다양한 국적 항공사를 이용하고 서비스를 분석, 비교하는 것이었다. 데이지쌤..."
55,"#항공권특가 #해외여행 #해외여행준비물 [해외여행준비] 국내 해외 항공사 총정리 항공권 특가 득템 꿀팁   국내외 항공사 총정리 해외여행을 가기로 결심했다면, 제일 먼저 해야 할 일은 '항공권 구입'입니다. 현지 숙소는 차후의 문제구요. 출발일이..."
56,"미국의 항공사 팬암 1972년, 미국 키웨스트에서 하바나까지의 항공 우편노선을 취항하며 시작한 팬암(Pan American Airways) 항공역사의 선구자로 20세기를 상징하는 대표적인 아이콘으로 남게되었는데, 이 팬암이 이번에 한국 최초로 팬암 어패럴을 런칭!! 도전, 자유, 혁신의 팬암 항공사..."
57,"그러니 그려러니 하고 타시던지 아니면 건강을 위해 다른비행기 타시기를 권장한다. 특히 고혈압, 당뇨 있으신분은 타지마시라... 이상 제가타본 최악의 항공사 라이언 에어 였습니다. 인도네시아 에는 라이온 에어가 있다 여기도 좋지는 안지만 유럽라이언 에어랑 비교불가."
58,"외국 항공사 마일리지 어느 항공사에 적립할까? 외국 항공사를 이용하는 경우에 대한항공, 아시아나항공 마일리지가 얼마나 적립되는지를 알아봤습니다. 실제로 고수들의 경우 회원 혜택이 좋은 외국 항공사에 회원가입해서 마일리지를 구입하고 마일리지를 국적기인 대한항공이나..."
59,아끼는 항공사인데 제가 참여해야죠 !! 나는 포스팅한다 나는 응모한다 저를 뽑아주세요!!!! 나고야가서 속세에 찌든 저를 힐링할래요!!!!... 다녀온 방콕사진으로 꽉채웠는데 얼른 다른여행지로 꽉채워보고싶네요! #최애항공사#에어부산#나고야#나고야답사#나고야여행#부산나고야#여행의지혜
60,"한국과 태국을 오가는 항공사들은 모두 9개고 인천-방콕은 물론 부산, 대구, 제주, 무안-방콕과 인천-푸켓, 치앙마이 등이 운영된다. 태국의 성수기가 시작되는 11월을 앞둔 10월 28일 기준, 양국을 오가는 항공사들의 출도착 시간은 다양하지만 태국에서 한국으로 돌아오는 항공기들은..."
61,각 항공사 비즈니스석 이상의 탑승객에게 해당되는 이야기입니다. 특히 넓은 좌석을 이용하는 게 가장 부럽습니다. 기타 부가서비스를... 각 항공사 별로 정리를 해두었으니 여행을 즐기시기 전에 참고하시면 도움이 될 것 같습니다. # 1. 티웨이항공 프리미엄 좌석 티웨이항공에서는...
62,"한국 항공사에서 보잉사의 ""보잉 737 맥스 8"" 도입 검토중인 곳은 대한항공/티웨이 항공, 제주항공이며, 이미 2018년 12월 ""이스타항공""이 한국 최초 이기종 도입했다. Img BBC Img The Air Current / 이미 문제되고있는 시스템 설명 이미지"
63,이용호 의원은   항공사들의 항공 마일리지 갑질은 심각한 수준 이라며  소비자들이 가장 선호하는 보너스 항공권 구매는 고사하고... 예매권 한 장을 구매하기 위해 2만6000원의 마일리지를 지급해야 한다 고 말했다. 소멸될 항공마일리지 8000억  항공사만 배불려 biz.newdaily.co.kr
64,"'보잉 737 Max 8' 기종을 가장 많이 운용하고 있는 항공사는 어디일까? 보잉에 따르면, 올해 1월까지 총 31대를 인도받은 미국... 항공사들뿐만 아니라 보잉에서도 나쁜 소식이다. 737 Max 기종은 이미 수천 대가 주문 예약 중이기 때문이다. 1월까지 5,011대가 주문되었고, 이중..."
65,"이번 여행에서 이용한 항공사는 아시아나 항공이고 항공편은 인천에서 LA로 가는 직항편이다. 인천공항에서 LA까지는 대략 12시간 정도 걸린다.... 그 동안 싼 항공편을 찾다보니 대한항공이나 아시아나를 이용하지 못했는데, 이번 기회에 이용하게 되면서 자연스레 미국 항공사들과 비교하게 된다. 1...."
66,"터키 저비용항공사인 아틀라스글로벌은 아타튀르크국제공항을 허브로 사용중이다. 2001년 아틀라스제트로 설립하여 운항하다가... 터키의 항공사는 아틀라스글로벌 포함 아나돌루제트, 페가수스항공, 터키항공이 있다. IATA : KK ICAO : KKK Callsign : ATLASGLOBAL"
67,"이 편견을 깬 항공사들이 있다. 아예 기내식 탓에 한번더 이 항공을 이용한다고 알려진 먹방 기내식 항공사 톱5다. 신뢰할 만 하냐고? 기내식 후기 유명 블로그  인플라이트피드 (InflightFeed)의 운영자로, 15년간 항공업계에 몸담아온 닉 루카스가 미국 경제전문 매체 비즈니스인사이더를..."
68,"항공사 후기는 여기서 끝입니다! 왜냐면 비행기를 탔지만 항공기 문제로 한참을 기다리다 기다리다 결국, 항공기 결함으로 인해 출발을... 사전 알림 없이 공항 내 지연이 4시간 이상일 경우 항공사 측에서 간단한 식음료를 제공해주는 편입니다. 2.경유 항공편 지연에 관한 가장 큰 문제는 경유..."
69,"( #LCC )저가항공사를 자주 이용하시는 분들은 집중! 해주세요. 첫 번째로 소개해드리는 저만의 꿀팁은 #저가항공 포인트도 쌓고 공항 라운지를... 제주항공 리프레시포인트 신한카드(항공사 마일리지 카드) 예를 들어 (신한카드 기준) 아시아나, 대한항공 등 항공사 제휴카드는 1,000원당 1마일..."
70,"5시간에서 2시간정도 이며, 특히 저 2개의 항공사는 환승하는 이동 동선이나 전반적으로 스트레스를 '덜'받는 공항임을 알려드립니다. 특히 핀에어가 그렇습니다. 그리고 대한항공 마일리지로 인해 [에어프랑스]를 타시고 오시는경우도 있는데, 절대 부모님과 올경우 타지 말아야 할 항공사가 바로..."
71,인천2공항의 인천공항 제2여객터미널 취항 항공사 목록 오늘은 새로 생긴 인천 공항 제2여객터미널 취항 항공사를 알아보았어요 늘 느끼는 것이지만 우리나라 인천 공항이 전세계 공항중에서 탑인거 같아요 너무 편리하고 출입국심사도 빠르구요^^ 자~~자세히 보이시죠? 인천 2공항 2여객터미널의...
72,"#저비용항공사 ( #LCC )들이 #베트남 노선을 앞다퉈 늘리고 있습니다.  박항서 효과 로 해당 노선 수요가 늘어난 데다, 차별화 전략을 꾀하려고... 이스타항공은 국내 저비용항공사 최초로 베트남 푸꾸옥 노선을 신규 취항합니다. 이스타항공은 '19년 2월부터 인천~나트랑과 함께 인천~푸꾸옥..."
73,웬 듣보못 '항공사 협회 라운지' 냐며 내 신용카드로 갈수 있는 다른 라운지를 찾아갈까.. 하다가 이 라운지가 내가 탑승할 46번 게이트 바로 앞에... 있고 심지어 방콕 수완나품 공항에도 고급 케세이 라운지가 따로 있건만 인천공항에서는 요렇게 간이로 만들어놓은 둣한 라운지를 다른 항공사들...
74,그때는 다양한 나라를 업무상 출장으로 자주다니다보니 정말 우리가 흔히 알고 있는 여러나라를 대표하는 국적항공사부터 다양한 항공사의 비행기를 이용했었답니다. 정말 비행기 겉면에 그려진 로고만 봐도 아.. 어느나라의 비행기구나 알수 있을정도로 관심이 있었는데.. 한참 시간이 지나서...
75,"파산 위기 ""델타항공""이 미국 최고 항공사가 되기까지 저가 항공사들의 유입 지속된 파업으로 인한 인건비 상승 9 11테러에 따른 여파 유가 급등 2005년 미국, 사회적 이슈와 상황으로 대형 항공사의 경영난이 심각했다. 미국의 대표 항공사  델타항공  또한, 극심한 경영난에 몸살을 앓다가, 결국..."
76,내년부터 인천공항 제2여객터미널에는 대한항공을 비롯하여 에어프랑스 델타항공 KLM 4항공사가 입주하여 스카이팀 전용 터미널로 이용됩니다.... 인천공항 제2여객터미널에 입주하는 항공사의 경우 이제는 탑승수속부터 세관검사등 모든절차가 기존과 별도로 인천공항 제2여객터미널에서...
77,"패스트인베스트먼트 등 국내외 유수의 투자자들이, 신규 항공사  에어프레미아 에 105억 투자 패스트인베스트먼트는 국내 대표적인 컴퍼니... 그런 회사에서 우리가 대X항공이나 아XX나항공처럼 익숙해진 항공사에 투자를 했다니, 자연스럽게 관심이 갈 수밖에 없는 소식이었는데요...."
78,"# 인천공항 터미널별 이용항공사 안내(2018.10.28.) 1. 인천공항 1터미널 이용항공사 - 아시아나항공, 제주항공, 진에어, 티웨이 - 이스타항공, 에어서울 - 중국동방항공, 중국남방항공 - 캐세이퍼시픽, 필리핀 항공, 타이항공 등 2. 인천공항 2터미널 이용항공사 - 대한항공, 에어프랑스..."
79,"카페를 가입하고 볼 일이니 일단 제껴두고   제가 한 방법은 항공사를 통한 무료 대행이었습니다. 그래요. 공짜!!! 네요.... 쉽게 말해 대형 국적기 티켓을 구매했다 해도, 그 구매가 인팍투어나 여행업체 등을 통하면 항공사에선 해주지 않는다는..."
80,"누워서 천장 보고 있으니 떠오르는, 기억나는 몇 개의 항공사. 그들의 짤막한 후기. 우리나라 저가 항공사는 딱 세 번 경험해봤다. 내 기준에서 가장 준수했던 것이 이스타 항공이었고 너무 흔들려서 무섭기까지 했던 제주 항공. 난기류 탓이었겠지만 비행기를 타본 이래 그런 흔들림은 처음이라..."
81,"10 항공사들이 있다    Singapore Airlines comes out on top, with Qatar Airways second.    Qatar Airways가 2등으로, Singapore...  단 하나의 미국 항공사가 글로벌 Top 10 리스트에 들었다. David Reid | @cnbcdavy Published 6:24 AM ET Tue, 2 April 2019 A..."
82,"제2여객터미널(T2)은 작년 초 처음 개장했을 때만 해도 대한항공, 델타, 에어프랑스, KLM 등 4개의 항공사만 이용했지만, 지난 10월 말부터 스카이팀 소속 7개 항공사가 추가 이전되어 현재 총 11개의 항공사가 이용하고 있기 때문이다. 작년 매출 성과가..."
83,"고민에 빠진 국적항공사 보잉기 114대를 어쩌나?   에티오피아 항공기 추락사고로 '보잉737-맥스8' 기종의 안전성에 의문이 제기되자 이스타항공이 긴급운항중지를 결정한데 이어 2019년부터 100여대를 도입하려던 국적항공사에 비상이 걸려.   특히, 대한항공과 티웨이, 이스타 등..."
