,title,url
148,윙메이커 혜랑의 승무원 파헤치기! 국내 LCC 항공사 + 외항사 채용 절차 및 특징 알아보기!,https://www.youtube.com/watch?v=fnT-clFA5m4
149,신규 항공사 이륙도 안했는데 난기류 경영 갈등 / 연합뉴스TV (YonhapnewsTV),https://www.youtube.com/watch?v=Du9XIbEgC18
150,'보잉 737 맥스' 또 추락 한국 항공사들도 대량 구입 / 한국경제TV,https://www.youtube.com/watch?v=4C8KVwKFYkc
151,항공사 채용 트렌드 변화 [국내항공사 대한항공 아시아나항공 제주항공],https://www.youtube.com/watch?v=UgLh4Ft7nQs
152,양양 청주 인천 기반 '저가항공사 3곳' 출범 우려 시선도,https://www.youtube.com/watch?v=uiG1AvncQX4
153,리얼크루tv- 승무원준비 대형항공사vs저비용항공사,https://www.youtube.com/watch?v=siVoH5CayfM
154,A380 가장 많이 보유한 항공사는 어디???? (Feat. TOP10),https://www.youtube.com/watch?v=CJAUiwM9JsA
155,세계 항공사 항공기 보유 대수 TOP10,https://www.youtube.com/watch?v=a_Dz5EakL78
156,필리핀항공사에 대해 알아보자(ft.에어아시아 후기),https://www.youtube.com/watch?v=3BbxGTREgDw
157,기내식 맛있어서 또 타게 되는 항공사 10,https://www.youtube.com/watch?v=pekfJC9B-L4
158,[1화] 항공사 직원이 되면 좋은 점 (feat. 파격적인 티켓가격 공개??!),https://www.youtube.com/watch?v=DXnXfyUZZCA
159,여자가 항공사에서 할 수 있는 일,https://www.youtube.com/watch?v=J0CCyljmK5A
160,[성공취업 X-File 170707] 항공사 취업 가이드 - 국내 대형 항공사 분석/ 최지연 (취업컨설턴트),https://www.youtube.com/watch?v=YpsmdRva2wQ
161,승무원이 찾는 여행지는? 항공사들 체험 마케팅 경쟁 / 연합뉴스TV (YonhapnewsTV),https://www.youtube.com/watch?v=Ry1KvqQnXDs
162,세계최악의 항공사,https://www.youtube.com/watch?v=PALYvAxi-BI
163,PlaneSpotting ICN 각항공사 랜딩장면 인천공항 4K,https://www.youtube.com/watch?v=X1ZWRKFJ3Pw
164,"[취준생 브이로그] 세번째 항공사 서류합격 ,대한항공 서류합격, 승무원 면접준비, 스타벅스  [vlog][일상]",https://www.youtube.com/watch?v=0pGaSZhS8Jg
165,"Q&A , 첫번째 #중국항공사 월급?이직? 지원했던 항공사, 슬럼프?",https://www.youtube.com/watch?v=aFEJrCD2T5M
166,꼭 피해야 하는 최악의 항공사 12곳 - 여행 알고가자 by 여행이,https://www.youtube.com/watch?v=XyIkp1QJ72o
167,항공사 메이크업 바꿔치기(ft.얼굴 창조)[항공사 때려친 언니들],https://www.youtube.com/watch?v=aBJrdvOGKCI
168, 비행 중 위급상황 part.2  [항공사 때려친 언니들],https://www.youtube.com/watch?v=hEjmiOa3P-g
169,취업방송  항공사 취업도전 디바제시카(Deeva Jessica),https://www.youtube.com/watch?v=48E0KeZlB_w
170,2019년도 저비용항공사 사업방향은?,https://www.youtube.com/watch?v=mqgiDiDtU5g
171,지나치게 섹시한 복장 때문에 항의받은 항공사?,https://www.youtube.com/watch?v=5kW4w995kKE
172,에어아시아 (저비용 항공사) 편하게 타는 꿀팁,https://www.youtube.com/watch?v=wic8YKn5wUU
173,"[단독] ""영화같은 사기"" 항공사 조종사 행세 남성 또 범행 / YTN",https://www.youtube.com/watch?v=0VUZhOQXkX0
174,중국항공사 승무원이 알려주는 중국어공부 방법 2 |한국에서도 야무지게 공부하자!,https://www.youtube.com/watch?v=uLBIgh3OsnU
175," 보잉 737 맥스  국내 비행 영공 통과 금지 항공사, 대책 고심 / KBS뉴스(News)",https://www.youtube.com/watch?v=0uFfPsEdgL0
176,파란만장했던   조양호 회장 50년 항공사,https://www.youtube.com/watch?v=RpEqkXjZRWo
177,"아메리칸 항공사, 승객 사망할 지경인데도 가까운 공항으로 착륙시도 안해, 결국 고소당해",https://www.youtube.com/watch?v=CtPKF7EgWao
178, 7시간 지연도 참아  저가항공사 배짱영업,https://www.youtube.com/watch?v=hZ4GAQRkR2A
179,"국토부, 정시성 우수 항공사 발표 대한항공 에어부산 '최우수' (2018.11.01/뉴스투데이/MBC)",https://www.youtube.com/watch?v=eNxT21xupGU
180,[주식투자] 아시아나항공 자구책 제시 저가항공사 급등 에어부산 한국공항 아시아나IDT,https://www.youtube.com/watch?v=jOaYyTwiIS8
